,broj_tema,avg_rezultata,posto_poz,posto_neg
2020-10-28,4,-0.9858360588550568,0.0,1.0
2020-11-03,9,-0.36931508117251927,0.3333333333333333,0.6666666666666666
2020-11-04,8,-0.929710291326046,0.0,1.0
2020-11-05,7,-0.9368258884974888,0.0,1.0
2020-11-06,9,-0.35863616069157916,0.3333333333333333,0.6666666666666666
2020-11-07,5,-0.5883341431617737,0.2,0.8
2020-11-08,2,-0.9990037083625793,0.0,1.0
2020-11-13,6,-0.3258376618226369,0.3333333333333333,0.6666666666666666
2020-11-14,4,-0.9463005661964417,0.0,1.0
2020-11-15,9,-0.5278648601637946,0.2222222222222222,0.7777777777777778
2020-11-16,19,-0.3744395720331292,0.3157894736842105,0.6842105263157895
2020-11-17,2,0.026301652193069458,0.5,0.5
2020-11-21,6,-0.9156718452771505,0.0,1.0
2020-11-22,8,-0.4658981263637543,0.25,0.75
2020-11-23,7,-0.42486464977264404,0.2857142857142857,0.7142857142857143
2020-11-24,8,-0.9977970942854881,0.0,1.0
2020-11-25,11,-0.2716653184457259,0.36363636363636365,0.6363636363636364
2020-12-01,3,-0.19321717818578085,0.3333333333333333,0.6666666666666666
2020-12-02,4,-0.9821157157421112,0.0,1.0
2020-12-03,2,-0.8710171580314636,0.0,1.0
2020-12-04,9,-0.3512498405244615,0.3333333333333333,0.6666666666666666
2020-12-05,3,-0.9941323200861613,0.0,1.0
2020-12-06,11,-0.4998710426417264,0.2727272727272727,0.7272727272727273
2020-12-07,5,-0.991541588306427,0.0,1.0
2020-12-08,5,-0.996469521522522,0.0,1.0
2020-12-09,13,-0.4986957357479976,0.23076923076923078,0.7692307692307693
2020-12-10,12,-0.6893030305703481,0.16666666666666666,0.8333333333333334
2020-12-11,4,-0.9865670949220657,0.0,1.0
2020-12-12,9,-0.7738377385669284,0.1111111111111111,0.8888888888888888
2020-12-15,5,0.12451798915863037,0.6,0.4
2020-12-16,29,-0.29725247621536255,0.3448275862068966,0.6551724137931034
2020-12-17,20,-0.5856304347515107,0.2,0.8
2020-12-18,23,-0.4706977787225143,0.2608695652173913,0.7391304347826086
2020-12-19,3,-0.3303188880284627,0.3333333333333333,0.6666666666666666
2020-12-21,12,-0.6443855861822764,0.16666666666666666,0.8333333333333334
2020-12-22,17,-0.46341673065634337,0.23529411764705882,0.7647058823529411
2020-12-23,11,-0.14430918476798318,0.45454545454545453,0.5454545454545454
2020-12-26,4,-0.5007704645395279,0.25,0.75
2020-12-27,14,-0.8181278152125222,0.07142857142857142,0.9285714285714286
2020-12-28,14,-0.7875470689364842,0.07142857142857142,0.9285714285714286
2020-12-29,8,-0.06709417700767517,0.5,0.5
2021-01-03,14,-0.4131756808076586,0.2857142857142857,0.7142857142857143
